name_title,description
Dockers® On-the-Go Mini-Plaid Shirt,"Keep your style up to speed when you’re on the go in this no-wrinkle, mini-plaid shirt, featuring a touch of spandex for easy stretch. no-wrinkle fabric button-down collar button front long sleeves left chest patch pocket with logo embroidery 70% cotton/27% nylon/3% spandex washable imported"
Slipperooz by Deer Stags® Fudd Mens Indoor/Outdoor Moccasin Slippers,"Cozy, comfortable and easy to wear, our microsuede indoor/outdoor slippers will be your go-to shoes for casual days at home.   synthetic microsuede upper Deer Stags patented S.U.P.R.O.® Technology features a high-density EVA footbed with Altron™ heel cushion for excellent shock absorption bumper protects toe from scuffing molded TPE insole sock microsuede fabric lining lacing embellishment durable fabric-covered thermoplastic-rubber sole"
Geneva Mens Blue Dial Navy Silicone Strap Watch,"It’s hard not to notice your sophisticated style when you’re wearing this watch. A blue enamel dial has easy-read numerals and is framed by a sporty bezel.   Brand: Geneva Dial Color: Blue Strap: Navy silicone Movement: Quartz Bracelet Dimensions: 9"" long; 22mm wide Model No.: 33474   Jewelry photos are enlarged to show detail."
Alfred Dunner® St. Augustine Capris,"Our St. Augustine capris are the perfect versatile option for all your warm-weather ensembles. flat front back elastic square pockets missy and women: 21"" inseam petite: 19"" inseam cotton/polyester/linen machine wash, line dry imported"
1/2 CT. T.W. Diamond 10K Yellow Gold Cluster Ring,"A dazzling display of brilliance, this cluster ring with 54 diamonds is a knock out statement piece.   Metal: Rhodium-plated 10K yellow gold Stones: ½ ct. t.w. round and tapered baguette diamonds Setting: Prong and channel Gallery Height: 23.5 mm Dimensions: 17.75x13.5mm Diamond total weights may vary between .01 and .08 carat. Jewelry photos are enlarged to show detail.  "
Brondell H2O+ Circle Reverse Osmosis System,"Brondell's Circle Reverse Osmosis water filtration system utilizes patented new technology to eliminate back pressure, making it up to 10 times more efficient than conventional RO systems. plastic 9.25x13.75x16.5""H clean with a damp cloth and mild detergent imported"
i jeans by Buffalo Ashton Puffer Jacket,You don't have to hit the slopes to enjoy the warmth and style of this puffer jacket. attached hood zip front handwarmer pockets polyester washable imported
Stafford® Boardroom Stripe Silk Tie - Extra Long,"Add bold color to your office look with our stripe silk tie. 3⅜"" wide; 63"" long 100% silk spot clean imported"
Arizona Jelly Slip-On Casual Sandals,Class up your casual look with our slip-on sandals featuring fun jelly straps. synthetic upper rubber sole
tarte After Hours Statement Essentials Set,"What it is: A set of statement essentials in a travel-friendly makeup bag for a seductive after-hours look.What it does: Unleash your sophisticated seductress with this enviable selection of tarte’s bestsellers for the eyes, cheeks, and lips. This incredible lineup makes a bold statement through enticing pigment, ultra-crisp definition, and long wear that will last through any enchanting adventure. This Set Contains:- 0.034 oz Lights, Camera, Lashes™ Precision Longwear Liquid Liner in Black - 0.16 oz Lights, Camera, Flashes™ Statement Mascara in Black- 0.31 oz Amazonian Colored Clay Bronzer Blush in Park Ave Princess™ (pink bronze)- 0.01 oz Best in Faux Lash Extending Fibers- 0.10 oz Lipsurgence™ Lip Tint in Moody (deep berry)- Limited-edition Picture Perfect™ Eyelash Curler- Limited-edition travel makeup bagWhat it is formulated WITHOUT:- Parabens- Sulfates- Phthalates"
JCPenney Home™ Stanford Roman Shade,"Add a touch of texture to your favorite space with this roman shade that accents any room nicely. lift cord back has inaccessible cord liner 6"" fabric valance Sold individually. Polyester shade with PVC headrail. Window must be 1¼"" deep for inside mount; 1⅝"" deep for flush inside mount. Mounting hardware included. Clean with a damp cloth. Imported."
Dockers® Sport Flip-Flops,Stay cool in these versatile flip-flops from Dockers® perfect for the beach or lounging around the yard. polyurethane/EVA imported
Red Kap® Utility Work Pants–Big & Tall,"These Red Kap utility work pants with jean-style waistband are the perfect match when it comes to creating a great on-the-job look and are available in several convenient colors.     8.5 oz. twill durable work pants with soil release  full-cut, straight legs styling folder-set waistband with outlet and extra wide belt loops and hook-and-eye closure 2 slack-style front pockets 2 set-in hip pockets; left pocket had button closure polyester/cotton twill washable imported of domestic goods"
Personalized Medical ID Circle Pendant Necklace,"Keep your medical info and allergies on you at all times with this medical ID tag necklace.   Metal: Stainless steel Closure: Lobster clasp Dimensions: 20"" long figaro chain Pendant Size: 20x20mm long Personalize: up to 2 lines with up to 12 characters each   Jewelry photos are enlarged to show detail.  "
Steve Harvey® Brown Shantung Suit Jacket,"In the black and white world of an office, this brown jacket from Steve Harvey is a refreshing change of pace. long sleeves regular fit notch collar 2-button front side vents polyester/rayon dry clean only imported"
Simulated Emerald and Lab-Created White Sapphire 3-pc. Jewelry Set,"Lend beautiful, coordinated style to your everyday look with this three-piece simulated emerald jewelry set. Including earrings, pendant and a ring, this set is accented with lab-created white sapphiresMetal: Sterling silverStone: Simulated emeraldsOther Stones: Lab-created white sapphiresEarring Back: PostNecklace Dimensions: 18"" long chainGemstones may be treated and may require special care.Jewelry photos are enlarged to show detail."
High Sierra® Daypack,"Whether you’re traveling for a day or the weekend, this daypack gets your gear to your destination quickly and efficiently.   flexible softside design adjustable shoulder straps comfortable padded carry handle 3 front exterior compartments and 2 side exterior pockets 3 interior compartments padded computer compartment fits most laptops up to 17"" hook allows you to attach extra gear Polyester. Measures 13x7x20""H; weighs 3 pounds. Spot clean. Imported."
Made For Life™ Woven Pintuck Jacket - Tall,"Specially woven to stretch and move with you, our colorblock jacket will be the one you reach for when you want lightweight coverage on-the-go. mechanical stretch fabric for comfort piping at front princess seams front zip closure two side pockets approx. 25¾"" - 27¼"" center back length twill polyester washable imported"
Worthington® Zip Jacket,"Our zip jacket will pull together your polished style and help you exude confidence. long sleeves 21"" length lined polyester washable imported"
Arabesque Rectangular Rug,"Inspired by classic architecture, these Arabesque rugs bring a look of sophisticated elegance to any setting.   hand-hooked construction highly durable polyester ¼"" pile height; ¼"" overall thickness Stain Resistant: No Fade Resistant: No Slip Resistant: No Rug Backing: Cotton Fire Retardant: Yes Rug Pad Recommended: Recommended for use on hard floors. Use: Indoor Care Instructions: Clean spills immediately by blotting with a sponge or cloth. Vacuum carefully without beater bar. Professional cleaning recommended. If loops appear above the pile of rug do not pull them. Use a pair of scissor to cut the loop and trim the ends even with the rug pile height. Origin: Imported"
JCPenney Home™ Shari Lace Rod-Pocket Sheer Panel,"Add an element of beauty with our best-selling lace coordinates. An allover floral pattern covers this sheer panel for a subtle hint of romantic styling.   1½"" rod pocket great for layering with other window treatments easy-to-hang rod-pocket styling sheer quality of lace offers light filtering as well as a measure of privacy gorgeous scalloped edges 1½"" header coordinating tie backs included Sold individually. Coordinating window treatments sold separately. Measured from top of rod pocket down, exclusive of header. Hang on a rod up to ½"" in diameter. Polyester. Washable. Imported.  "
My Baby Sam First Mate Hamper,"The great design of our cotton hamper will make it look like just anther piece of furniture in your little one's room.  26x16½x15""H wood frame 100% cotton machine wash, dry flat imported"
Bonnie Jean® Sleeveless Plaid Seersucker Dress - Girls 7-16,"Featuring a darling pull-through polka-dot bow at the waist, this dress will have her looking sweeter than ever. squareneck cotton/polyester/metallic washable imported"
Hazel Accent Chair,"Designed for stylish comfort, this faux-leather accent chair features individually placed silver-tone nailheads and a distinct barrel shape.   hand-carved birch frame black noir finish glued, stapled and corner-blocked joinery high-density foam cushioning kiln-dried birch legs Upholstery is 65% polyurethane/24% polyester/11% cotton. Spot clean with a dry cloth; avoid direct heat and sunlight. Measures 28Wx32Wx30""H overall with a 20"" seat height, 22"" seat depth and 12"" seat back height. Assembly required. Made in America."
"14K Yellow Gold Diamond Cut ""S"" Shape Climber Earrings","Make it modern with our diamond cut climber earrings, made with quality 14K yellow gold and a cool climber design.  Metal: 14K yellow gold Back: Friction Dimensions: 5.20x23.45mm Jewelry photos are enlarged to show detail"
Jennie & Marlis Sleeveless Sharkbite-Hem Dress,"Printed chiffon makes our sleeveless sharkbite-hem dress striking and beautiful. v-neck 45"" length from shoulder lined polyester washable imported"
adidas® Short-Sleeve Climamax Top,This colorful training shirt combines the moisture-wicking capability of climalite® with mesh shoulders for breathability. climalite moisture-wicking fabric mesh shoulders for increased breathability crewneck left chest logo print short sleeves polyester washable imported  
Queen Street® Serena 2-Pack Curtain Panels,"Combining rustic textures with colors of the seashore, these curtain panels give your window laid-back yet refined elegance, especially when paired with the Serena valance.   classic rod-pocket styling abstract floral medallion pattern tones of sand, driftwood and sea glass high-quality jacquard weave fabric-lined for an enhanced weight and feel tiebacks included Measures 100x84""L. Panels are sold as a 2-pack; stated measurement is combined width of both panels. Polyester. 3"" rod pocket. Dry clean. Imported.  "
Sleep On It Sleepover Sleep Shirt and Mask - Preschool Girls 4-6x,This glittery sleep shirt and mask are perfect for staying up all night at her BFF's sleepover (and sleeping in the next day). includes sleep mask with glitter detail roundneck with button placket sleeveless racerback glitter detail polyester washable imported Fabric and fit are important safety considerations for children's sleepwear. Sleepwear should be flame resistant or snug-fitting to meet U.S. Consumer Product Safety Commission sleepwear requirements.
Liz Claiborne® V-Neck Sweater Tank Top,"Crochet edges give our sweater tank top a look of class that's also ready for the weekend. v-neck approx. 24"" - 27½"" length cotton/polyester/Lurex® metallic washable imported"
Levinsohn Mattress Guard™ Waterproof Mattress Protector,"Keep your mattress clean and fresh with this waterproof, hypoallergenic mattress protector that’s easy to clean and 100% metal free.   4-gauge PEVA waterproof vinyl fitted style for easy on/off stain resistant PEVA. Spot clean. Imported. Twin mattress protector: 39x75"" Full mattress protector: 54x75"" Queen mattress protector: 60x80"" King mattress protector: 78x80"" Cal. King mattress protector: 72x84"""
Disney Cinderella Tween Glitz Kids Stainless Steel Watch,"Just like her own fairy godmother, this Cinderella watch will keep her on time.  A glitzy silver-tone leather band gives it enough glamour to accessorize even her fanciest ballgown.   Brand: Disney Dial Color: Multicolor Strap: Silver-tone leather Clasp: Buckle Movement: Quartz Water Resistance: 30m Case Width: 32mm Case Thickness: ⅓"" Bracelet Dimensions: 6⅓"" long, 16mm wide Model No.: W000392 Special Features: Stainless steel case, glitzy leather strap, 3ATM water resistance Jewelry photos are enlarged to show detail.  "
Mi Zone Iris Floral Quilt Set,"Bright pops of color on this comforter set emphasize the large floral design that will turn your bedroom into a festive place to hang out and sleep.   teal, yellow and white color on a navy background coordinating decorative pillow 3-piece Twin/Twin XL set includes: quilt sham decorative pillow 4-piece Full/Queen set includes: quilt 2 shams decorative pillow Twin/Twin XL and Full/Queen sets include standard sham(s). Polyester quilt with cotton fill; polyester shams; polyester decorative pillow with polyester fill. Washable. Imported. Twin/Twin XL: quilt is 68x90""; sham is 26x20""; decorative pillow is 18x10"" Full/Queen: quilt is 86x90""; shams are 26x20""; decorative pillow is 18x10"""
Dora Watch & Flower Bracelet Gift Set,"Dora helps you keep on time the stylish way with this supercute watch and flower bracelet set. Watch features a graphic dial and pink floral patterned strap. Also includes a matching backpack.   Dial Color: Silver Strap: Pink plastic with print Clasp: Buckle Movement: Analog Case Width: 7mm Case Thickness: 5mm Bracelet Dimensions: 213mm long, 15mm wide Model No.: DTE1080B Jewelry photos are enlarged to show detail."
"Rockland 19"" Freestyle Polka Dot Carry-On Duffle Bag","From your computer to your favorite book, store everything you need to get from A to B in this stylish carry-on tote bag constructed of heavy-duty fabric.   U-top opening provides easy access to main zipper secured compartment  2 front zipper secured compartments 4 exterior compartments adjustable ergonomic shoulder strap heavy-duty 600-denier fabric Polyester. Measures 19x10x11""H. Spot clean. Imported."
Farberware® Sonoma 2-qt. Whistling Tea Kettle,"The classic, trusted quality of Farberware® pairs nicely with this durable stainless steel teakettle. Gelatin, hot chocolate or a cup of soup—the uses for a teakettle don't stop at tea.   whistle feature signals when water is at a boil removable lid makes kettle easy to fill 2-qt. capacity Stainless steel. Dishwasher safe. Imported.  "
Arizona Flex Surfer Prep Flat-Front Shorts,"These surfer prep style flat-front shorts from Arizona have flexibility, allowing you to bend and move while retaining their shape. flat front button fly with zipper slant front pockets back-buttoned welt pockets 8½"" inseam hits just above the knee cotton/spandex washable imported"
Arizona Long Sleeve Pullover Fleece,"With splashes of color this Arizona raglan shirt brings a new look to a classic style, making it great for any casual day. crewneck chest pocket cotton/polyester washable imported"
akademiks® Belmont Jeans,"Dark jeans from akademiks do denim better with quilted, leather-look details. slim fit sits at waist zip fly with button closure 5-pocket styling straight leg fabric: cotton/polyester trim: polyurethane washable imported"
Arizona Fringe Bottom Tank Top - Toddler Girls 2t-5t,She’ll be ready for warm-weather fun in our tank top with fringe hem. roundneck cotton/polyester washable imported
Tervis® 16-oz. Camo Hardwoods Knockout Insulated Tumbler,"Bring the woods and your favorite drink wherever you go with this convenient tumbler and its realistic tree design. made from extremely durable, BPA-free Tritan™ material double-wall technology reduces condensation designed to keep beverages cold or hot longer freezer safe includes travel lid 16-ounce capacity Plastic. Dishwasher safe. Made in America."
Hi-Tec Bandera Pro Mid Mens Steel-Toe Work Shoes,"Look your best and stay safe on the job with our comfortable Bandera Pro shoes, constructed with work-friendly features to keep you steady on your feet all day, everyday. construction suede leather/nylon upper oil/slip-resistant rubber sole details lace-up entry waterproof, breathable bootie protective rubber heel and toe guard  "
"Keepsake® Holy Spirit 12"" Christening Candle","Memorialize the special event with this Christening candle, featuring a raised, gold-tone raised detail. comes packed in a gift box   ⅞ x 12"" H unscented candle           "
Dockers® Passcase Wallet,"Our passcase wallet from Dockers has multiple card slots, an ID window and a sleek design that's perfect for everyday use. 7 card slots 1 ID window 2 slip pockets 1 currency compartment 5.3x5x1.4""H polyurethane/leather wipe clean imported"
Dickies® Womens V-Neck Scrub Top,"Easily hold your essentials in this stretch-easy women’s scrub top from Dickies, featuring spacious patch pockets, a cell phone pocket and utility ring. v-neck front patch pockets cell phone pocket self tab with utility D ring logo eyelets back princess seams for added shape 26"" center back length polyester/rayon/spandex washable imported"
Liz Claiborne® Secretly Slender™ Straight-Leg Trouser Pants - Petite,"It's no secret how good you'll look in these straight-leg pants from Liz.   flat front zip fly with hook-and-bar closure 2 front and 2 back pockets 28"" inseam polyester/rayon/spandex washable imported petite: 29½"" inseam petite short: 28"" inseam"
Liz Claiborne® Gallery Taffeta Rod-Pocket Waterfall Valance,"Create a luxurious atmosphere in you room with this waterfall valance that exemplifies sophistication. 3"" rod pocket faux-silk feel and shine lined and interlined for an enhanced weight and feel onion fringe trim Measures 42x37""L. Sold individually (three shown). Curtain panels sold separately. Polyester. Washable. Imported."
Personalized 14K Gold Over Sterling Silver Monogram Ring,"Your initials elegantly intertwine to give this script monogram ring its beauty and originality. Initials will appear exactly as entered. Must be three letters, center initial will be enlarged. Made in America.   Metal: 14K gold over sterling silverPersonalize: Up to 3 script initials; initials will appear exactly as entered; center initial will be enlarged Jewelry photos are enlarged to show detail."
Liz Claiborne® Short-Sleeve Lace Tee - Tall,"Pretty lace detailing makes this short-sleeve tee a gorgeous addition to any professional wardrobe. roundneck polyester with cotton bindingpolyester cami hand wash, line dry imported"
Stafford® Mens 3-pk. Crew Socks,"At work or play, these cotton-rich socks feature a touch of stretch for all-day comfort. package of 3 pairs soft cotton blend for breathability better fit with spandex seamless toe reinforced heel and toe for durability cotton/polyester/nylon/rubber/spandex washable imported sock size 10-13 fits shoe sizes 6½-12"
Samsung 9.5 Cu. Ft. Gas Dryer with Steam Dry,"true Skip the dry cleaners with this powerful electric dryer. The effective Steam Dry cycle helps eliminate odors and freshen clothes while removing wrinkles for a clean and smooth look. 9.5 cu. ft. capacity lets you do more laundry in each load knob control and LED display Steam Dry cycle eliminates odors and refreshes clothes, all without manually refilling a water reservoir 15 drying cycles with Sensor Dry Moisture Sensor that adjusts drying time to save energy 5 temperature settings child lock feature prevent unintended use Vent Sensor™ detects problems and reminds you when you need to clean your vent Smart Care lets you troubleshoot appliance problems from your smartphone patented Eco Dry technology can help save up to 25% less energy with every load dryer rack allows you to place your special-care items in an area to dry without tumbling"
Marmellata Sleeveless Dotted Dress - Toddler Girls 2t-4t,"This light and breezy sleeveless dress is great for any spring or summer occasion and features a dotted chiffon skirt and matching dotted rosette on the waistline for a cute, girly touch. back-button closure sleeveless polyester hand wash, line dry imported"
Breaking Waves Ruffle Swimsuit - Preschool Girls 4-6x,"Make a splash at the next pool party with this colorful, ruffle-adorned swimsuit that's perfect for your groovy girl. ruffle around neck and shoulder ruffles at legs nylon/spandex polyester lining hand wash, line dry imported"
Aris by Treska Silver-Tone Multicolor Coil Bracelet,"This multicolor beaded bracelet with silver-tone accents coils around your wrist, creating a gorgeous addition to any outfit. Metal: Silver-tone metal Stones: Beads Dimensions: 55mm circumferenceJewelry photos are enlarged to show detail."
Soft Style® by Hush Puppies Kambra Slip-On Shoes,"Boasting a pretty pleated vamp and supportive cushioning for all-day comfort, our Kambra slip-on shoes are the perfect go-to pair for the style savvy girl on the go.   synthetic/nylon upper 1½"" wedge heel Soft Delight™ Comfort System rubber sole Soft Style® is a Hush Puppies Company.  "
U.S. Polo Assn.® Short-Sleeve Pocket Tee - Big & Tall,"Give yourself more wardrobe versatility with this everyday essential t-shirt, available in a variety of easy-to-match colors. regular fit crewneck short sleeves left breast pocket cotton/polyester washable imported"
Wrangler® Reserve™ Authentic Relaxed-Fit Jeans-Big & Tall,"When comfort and durability are a priority, reach for these premium denim jeans from Wrangler. sits at waist relaxed fit through seat and thigh 5-pocket styling straight leg cotton/spandex washable imported"
Queen Street® Distinction Euro Sham,"Our Euro sham features a sophisticated woven chenille damask pattern in red and gold tones for that desired ambiance. bordered in contrasting fabric cording detail for classic style vertical end pillow insert hidden zipper closure 26x26"" sold individually coordinating accessories sold separately polyester dry clean imported Euro shams require a 26"" pillow form, sold separately."
Sterling Silver Cubic Zirconia 3-Stone J-Hoop Earrings,"In a sparkling three-stone design, these J-hoop earrings lend a sophisticated flair to your day into evening wardrobe. Crafted of polished sterling silver. Metal: Rhodium-plated sterling silver Stones: Cubic zirconia Back: Friction Dimensions: 5x15mm Jewelry photos are enlarged to show detail.  "
Collection by Michael Strahan Reversible Dress Belt - Big & Tall,"From the office to the golf course, this black-to-brown reversible dress belt gives you more style options.                                        only at JCPenney approx. 1¼"" wide                                         black to brown reversible textured detail on nose of buckle                                     polyurethane/bonded leather/leather spot clean imported For a proper fit, order belt for your exact waist size."
Xersion™ Double Colorblock Tank Top - Plus,Make your workout more fun and comfortable with our colorblock tank top featuring no-chafe seams and Quick-Dri moisture-wicking fabric. scoopneck polyester washable imported
Liz Claiborne® Serenity Bath Rug Collection,"Defined by its tufted ogee pattern and calming hue, this soft bath rug is a timeless accent to any bathroom decor. absorbent cotton fabric nonskid latex backing Cotton. Washable. Imported. Oblong rugs: available in 17x25"" or 19x32"""
"Silver Reflections™ Sterling Silver Flat Matte Snake 24"" Chain Necklace","Matte sterling silver links together to form this 24"" long flat snake chain necklace. Made in Italy.  Metal: Sterling silverClosure: Lobster claspDimensions: 24"" long snake chain  Jewelry photos are enlarged to show detail."
Liz Claiborne® Sculpted Denim Jeggings,"Our sculpted denim jeggings offers all the comfort of leggings with the classic look of five-pocket jeans. city fit mid rise 5-pocket styling button-and-zip fly closure 29½"" inseam cotton/elastrell-p/spandex washable imported"
Hells Kitchen 10-pc. Kitchen Towel Set,"Add some stylish color to your kitchen with our practical towel set.  includes 2 large towels, 4 dish clothes and 4 bar mops 100% cotton washable each towel measures 16x19"" each dish cloth measures 12x12"" each bar mop measures 10x10"" imported"
Clarks® Leisa Grove Leather Sandals - Wide Width,"Stay comfortable and looking great all day with these sandals that are crafted in luxurious leather. technology Cushion Soft technology offers softness you can feel from your first step, long-lasting comfort and fit with minimal cushion compression optimal breathability via open-cell technology OrthoLite® cushioned footbed absorbs impact and offers breathability, moisture management and is antimicrobial construction leather upper EVA sole details strappy open-toe design adjustable hook-and-loop closure fabric lining"
Journee Collection Hali D'Orsey Pumps,"Complete your chicest looks with these elegant D’Orsay pumps from Journee Collection. faux leather upper 2.85"" heel pointed toe padded footbed rubber sole"
Keds® Craze T-Toe Lace-Up Sneakers,Stay fresh in your sneakers all day long with our lace-up design featuring comfy mesh lining and vent eyelets to keep you cool. canvas upper Ortholite footbed promotes perfect fit and comfort moisture wicking and odor control with antimicrobial properties slow recovery impressions memory foam gives maximum comfort extra heel padding for all-day wear lightweight rubber sole
Liz Claiborne® Elbow-Sleeve Lace-Up Dress- Plus,"Our dress features a lace-up neck and a colorful allover print for the perfect boho chic warm-weather look. ●    roundneck●    elbow sleeves●    lace-up neck with drawstring closure●    39"" length●    polyester●    washable●    imported  "
Mohawk Home® Trailing Vines Rectangular Rug,"Muted rustic colors give the simple leaf-inspired design in this rectangular rug a sense of vintage chic. Durable and vibrant, the beautiful colors and design will add a classic look to your room.   abstract design durable printed nylon latex backing    .04"" overall thickness        Stain Resistant: Yes      Fade Resistant: Yes      Slip Resistant: Yes      Fire Retardant: Yes      Rug Pad Recommended: Yes      Use: Indoor      Care Instructions: Spot clean or professionally clean only.      Origin: Made in America"
Xersion™ Quick-Dri® Performance Jacket - Girls 7-16 and Plus,This Quick-Dri performance jacket easily slips on and off for playtime in no time. moisture-wicking fabric standup collar long sleeves 1/4 zip polyester/spandex washable imported
Arizona Super Skinny Jeans,"Our skinny jeans feature a feminine cut for a bombshell fit that will make you miss them when they're in the dryer. 5-pocket styling approx. 29¼"" - 34¼"" inseam cotton/polyester/LYCRA® spandex washable imported"
Collection by Michael Strahan Cotton Stretch Dress Shirt,"Increase your style options in this herringbone-patterned dress shirt from Collection by Michael Strahan, featuring a soft cotton fabric that stretches for comfort. only at JCPenney mechanical stretch fabric (woven to stretch without spandex) spread collar button front long sleeves side pleat back adjustable button cuffs rounded hem 100% cotton washable imported"
John Deere® Utility Womens Boots - Wide Width,"These work boots feature a beautiful embroidered design crafted in durable leather for lasting wear. construction leather upper rubber sole details 10"" shaft height pull on moisture-wicking, high-abrasion lining cushioned insole with moisture-wicking cover lightweight, high-abrasion outsole Measurements are approximate and may vary slightly by size."
TKO ORLOGI Womens Crystal-Accent Chain-Link Blue Silicone Strap Stretch Watch,"Twist the night away with this watch that blends a twinkling crystal-accent bezel with a chic chain-link-style stretch strap.   Brand: TKO ORLOGI Dial Color: Blue Accents: Crystals on bezel Strap: Blue silicone Movement: Quartz Bracelet Dimensions: 8½"" long; 18mm wide Model No.: TK640RBL Special Features: Mineral crystal   Jewelry photos are enlarged to show detail."
DeLonghi® Combo Espresso/Coffee Maker,"This espresso/coffee maker saves on counter space with its three-in-one capability for brewing fresh drip coffee, cappuccinos, espressos as well as lattes and hot chocolate.   swivel jet frother for lattes and cappuccinos patented Flavor Savor brewing system that thoroughly saturates and steeps coffee grounds 24-hour digital programmable timer advanced water filtration eliminates flavors caused by chlorine nonstick warming plate pause-and-serve lets you enjoy a cup before pot is brewed Accuflavor Selector dials for choosing strength of coffee no more stale coffee with freshness indicator LED lights 1500 watts. Plastic. Measures 14.5x11x12.8""H. Imported.  "
Personalized 10K White Gold Sideways Cross Name Ring,"Wear this sideways cross ring as a fashionable admission of your faith, or share it with some special for a meaning gift. Personalized with up to 8 letters, this statement maker is crafted of polished 10K white gold. Made in America. Metal: Rhodium-plated 10K white gold Personalize: Up to 8 letters in script font Jewelry photos are enlarged to show detail.  "
My Baby Sam Pixie Baby Hamper,"This hamper is a cute way to store and hide those items you don't want others to see. 26x16.5x15""H 100% cotton machine wash, dry flat imported"
"Cathy's Concepts ""There's a Chance"" Set of 2 Personalized Large 20-oz. Coffee Mugs",There’s a chance you’re looking for a good pick-me-up in the morning and these personalized mugs offer the type of clever fun to do just that. bottom line may be printed with a custom word (12-character maximum) 20-ounce capacity set of 2 ceramic microwave and dishwasher safe imported
Recaro Performance Sport Harness Booster Car Seat - Haze,"Just because your child is ready for a larger car seat doesn't mean you have to give up all the safety features you've grown to expect. The Performance Sport Harness Booster Seat gives your child the same protection within a more appropriate silhouette.   side-impact protection HERO harness safety system resists harness twisting while ensuring proper chest clip positioning mesh side vents easy-adjust no re-thread harness energy-absorbing EPS foam cup holder quick-flip recline system 5-point harness system polyester; polyurethane foam filling hand wash, line dry 14x18x24.5-33"" for use by children 20-120 lbs. (20-65 lbs. in harness mode; 30-120 lbs. in booster mode) National Highway Traffic Safety Administration (NHTSA) certified fully assembled made in America"
R&K Originals® Short-Sleeve Bolero Shrug,"Get the light, sophisticated coverage you need to complement everything from your elegant dresses to your casual ensembles in our open-front knit sweater. short sleeve 14¾"" front length polyester/spandex lined made in America"
adidas® Womens Energy Running Quarter Socks,"Perform at your best in our moisture-wicking running socks from adidas, featuring all over compression for a secure fit, stability and support, as well as sculpted cushioning in the toe and forefoot to inhibit friction and blistering. Climalite construction wicks moisture micro nylon yarns give a snug and snappy fit left/right specific Traxion heel controls slipping reflective print keeps you safe while running at night                nylon/spandex washable imported fits shoe sizes 5-10  "
Natural Latex Plus™ Wick Away Down Alternative 2-Pack Pillows,"Say goodbye to hot and dense memory foam options and step into the dreams of the future with this all natural latex blend that revolutionizes the way you sleep.   ●    firm support●    ideal for side and back sleepers●    quick dry cover●    the softness of down without the risk of allergies●    pack of 2●    28x20""●    polyester cover with latex/down alternative fill●    washable●    made in America of imported materials Be sure to care for your investment with a pillow protector. It's an added layer of protection that will help keep your pillow clean and fresh.  "
Big Buddha Chevron Fringe Wrap,"Update your wardrobe for day or evening with a flirty, fringed wrap. 32x34” polyester hand wash, dry flat imported"
Dr. Jart+ Dermaclear™ Trans-Foam Clay in Calming White,"What it is:A triple functioning wash-off clay mask that transforms into a foaming cleanser upon application of water, providing soothing effects for sensitive skin while cleaning pores and exfoliating skin. What it is formulated to do:This innovative, multiaction Trans-Foam Clay in Calming White is applied like a clay mask but transforms into a gentle foaming cleanser, removing makeup, absorbing oil, and detoxifying your skin. When splashed with water, the mineral-rich, white French clay lathers to a foam that brightens, tones, and removes dead skin cells for a fresh and healthy-looking complexion. Fine natural clay particles charged with hydrogen mineral water and other natural ingredients—including chamomile flower extract to calm sensitive skin and redness—deeply cleanse pores and gently exfoliate. What it is formulated WITHOUT:- Parabens- Phthalates Suggested Usage:-Spread liberal amount on skin and let dry (three to five minutes).-Apply warm water and rub in circular motion to transform the dried clay mask into a foam lather cleanser.-Rinse off thoroughly with warm water and remove all residue.-The product may be used to remove base makeup.-Use daily or as needed.Size:1.7 ozIngredients:-French Clay (Kaolin, Montmorillonite): Cleanses pores and exfoliates. -Hydrogen Mineral Water: Purifies. -Sepicalm VG (Nymphaea Alba Flower Extract): Tones skin. -Chamomile (Anthemis Nobilis Flower Extract): Calms. Water, Titanium Dioxide, Sodium Lauryl Sulfate, Kaolin, Glycerin, Palmitic Acid, Stearic Acid, Bentonite, Betaine, Potassium Hydroxide, Sodium Methyl Cocoyl Taurate, Butylene Glycol, Phenoxyethanol, Xanthan Gum, Chlorphenesin, Ethylhexylglycerin, Tetrasodium Pyrophosphate, Caprylyl Glycol, Cellulose Gum, Pelargonium Graveolens Flower Oil, Myristic Acid, Arachidic Acid, Lauric acid, Disodium EDTA, Dipropylene Glycol, Decyl Glucoside, Anthemis Nobilis Flower Extract, Sodium Palmitoyl Proline, Nymphaea Alba Flower Extract."
Bebop® Print Soft Shorts,"Your take-notice style will be in full swing with our flowy print soft shorts. ties at waistline 2 front pockets 3"" inseam rayon hand wash, dry flat imported"
St. John's Bay® Roll-Sleeve Camp Shirt,"Our classic camp shirt is a summer staple for easy-going, casual style.  three-quarter sleeves button front cotton voile washable imported"
Epicureanist™ Stackable Diamond Wine Rack,"Perfect for placement on your countertop or bar, this sturdy wood wine rack featuring a compact design is perfect for holding several bottles of your favorite wine.   rich brown finish durable hardwood construction includes 4 pegs for stacking additional racks no assembly required Wood. Measures 19.09x10.69x15.75”H. Wipe clean with a dry cloth. Imported."
Honey-Can-Do® 4-Tier Bamboo Entryway Organizer,"Keep your travel accessories close at hand with this beautiful entryway organizer. moisture resistant bamboo makes it great for wet items 4 shelves for storing accessories tall side compartment for umbrellas or boots Bamboo. Measures 28⅜x10⅝x25¼""H. Wipe clean. Assembly required. Imported."
